index,DataSent,DataReceived,DataProcessed,DataSaved,PacketLength
56,2019-07-11T17:59:42.818388,1562860782.80569,1562860782.90139,1562860782.93764,145
57,2019-07-11T17:59:43.025165,1562860783.01201,1562860783.09959,1562860783.13003,145
58,2019-07-11T17:59:43.231954,1562860783.21896,1562860783.30712,1562860783.33423,145
59,2019-07-11T17:59:43.438709,1562860783.4306,1562860783.51099,1562860783.54677,145
60,2019-07-11T17:59:43.645613,1562860783.63461,1562860783.721,1562860783.75033,145
61,2019-07-11T17:59:43.852179,1562860783.83968,1562860783.92064,1562860783.95518,145
62,2019-07-11T17:59:44.058994,1562860784.0465,1562860784.12086,1562860784.15147,145
63,2019-07-11T17:59:44.264398,1562860784.25238,1562860784.34828,1562860784.38454,145
64,2019-07-11T17:59:44.471236,1562860784.45868,1562860784.54815,1562860784.57881,145
65,2019-07-11T17:59:44.677950,1562860784.66543,1562860784.74521,1562860784.78015,145
66,2019-07-11T17:59:44.884708,1562860784.87136,1562860784.94929,1562860784.97798,145
67,2019-07-11T17:59:45.091423,1562860785.07769,1562860785.16531,1562860785.19704,145
68,2019-07-11T17:59:45.298175,1562860785.2858,1562860785.37299,1562860785.41285,145
69,2019-07-11T17:59:45.503685,1562860785.49166,1562860785.58375,1562860785.616,145
