index,DataReceived,DataProcessed,DataSaved
121,1562860969.477592,1562860969.5645912,1562860969.5928364
122,1562860969.593919,1562860969.6706388,1562860969.702468
123,1562860969.703228,1562860969.776801,1562860969.8061364
124,1562860969.806922,1562860969.8865638,1562860969.917286
125,1562860969.9180639,1562860969.9941041,1562860970.029804
126,1562860970.030518,1562860970.120238,1562860970.1493597
127,1562860970.150149,1562860970.2251613,1562860970.2541494
128,1562860970.255031,1562860970.3391407,1562860970.3687377
129,1562860970.3695843,1562860970.4469078,1562860970.4766734
130,1562860970.4775007,1562860970.5633867,1562860970.5919921
131,1562860970.5931897,1562860970.6844091,1562860970.716879
132,1562860970.717854,1562860970.802273,1562860970.8335109
133,1562860970.8342674,1562860970.9112344,1562860970.9404438
134,1562860970.9413536,1562860971.031678,1562860971.063123
135,1562860971.064066,1562860971.1437151,1562860971.1699886
136,1562860971.170747,1562860971.2502131,1562860971.277011
137,1562860971.2778132,1562860971.3591795,1562860971.3936956
138,1562860971.394602,1562860971.4631016,1562860971.4963803
139,1562860971.497295,1562860971.5744157,1562860971.6037543
140,1562860971.6045353,1562860971.6873739,1562860971.7199528
141,1562860971.7207928,1562860971.8017557,1562860971.8379023
142,1562860971.8387213,1562860971.9143953,1562860971.9445372
143,1562860971.9452622,1562860972.0246193,1562860972.0566206
144,1562860972.0573442,1562860972.1408908,1562860972.1705725
145,1562860972.171453,1562860972.2430496,1562860972.273391
146,1562860972.2742622,1562860972.3501148,1562860972.3798745
147,1562860972.380846,1562860972.462203,1562860972.49322
148,1562860972.493968,1562860972.5792055,1562860972.6158216
149,1562860972.6168814,1562860972.6992812,1562860972.7294993
150,1562860972.730291,1562860972.808009,1562860972.8428283
151,1562860972.8437183,1562860972.917009,1562860972.9491036
152,1562860972.9498053,1562860973.03062,1562860973.0626142
153,1562860973.0633955,1562860973.131197,1562860973.1584237
154,1562860973.1595504,1562860973.237788,1562860973.2708762
155,1562860973.271704,1562860973.3423095,1562860973.3757534
